settlement_location,pnode,class,scope,in_weis
CSU.PRPA_SCWIND,WACMSPCA2UNSCWIND_RA,resource,internal,-
WACM.UPI.MEAD,WACMDELCAMINUNMEAD_MSR_GEN_RA,resource,internal,-
WACM_PACE_THERMOPOLIS,WACM_PACE_THERMOPOLIS_LA,load,internal,-
WACM_PACE_WYONORTH,WACM_PACE_WYONORTH_LA,load,internal,-
SRP,SRP,ba,external-seam,yes
WAUW.UGPW.FTPECKWEST,WAUWW_FTPECKUNG0_1_5_PLT_RA,resource,review,-
WACM_TSPM_CO_EAST,WACM_TSPM_CO_EAST_LA,load,internal,-
WACM_CRSP_NAPI,WACM_CRSP_NAPI_LA,load,internal,-
CSU_TSPM_CO_COSPGS,CSU_TSPM_CO_COSPGS_LA,load,internal,-
WACM_PACE_GREYBULL,WACM_PACE_GREYBULL_LA,load,internal,-
WACM_CRSP_NTUAGW,WACM_CRSP_NTUAGW_LA,load,internal,-
NTUA_LD_PNM_CO,NTUA_LD_PNM_CO_LA,load,internal,-
SCL,SCL,ba,external-seam,yes
WACM_HAMB_LD,WACM_HAMB_LD_LA,load,internal,-
WACM.TSCO.CRAIG3,WACMCRGCUUNCRG_U3_RA,resource,internal,-
WACM_COS1,WACM_COS1_LA,load,internal,-
WACM.TNSK.KMBLWND,WACMKIMBALLCUNWINDFARM_7UN_RA,resource,internal,-
PRPA_TSPM_CO_LOAD,PRPA_TSPM_CO_LOAD_LA,load,internal,-
WACM.UPI.JENKINS,WACMDAVSLRUNTGT_JENKINS_RA,resource,internal,-
CSU.TESSLA,WACMTESLA_HYUNTESSLA_RA,resource,internal,-
WACM_LAP_TSPM_WYWEST,WACM_LAP_TSPM_WYWEST_LA,load,internal,-
WACM.GPMR.GARMESA.RTO,WACMGARNETMEUNGMESA_GPM_RA,resource,internal,-
WACM.UPI.PLATTESLR2,WACMRATTSKRDUNPLATTE2_RA,resource,internal,-
WAUW_BEPW,WAUW_BEPW_LA,load,review,-
WACM_TSPM_CO_LOAD,WACM_TSPM_CO_LOAD_LA,load,internal,-
WACM_FRY_MTEPUMP,WACM_FRY_MTEPUMP_LA,load,internal,-
WACM.UPI.RATTLESNAKE,WACMRATTSKRDUNRATL_MSR_GEN_RA,resource,internal,-
PNM,PNM,ba,internal,yes
WACM.MEAW.SHAVANO.DROP.4,WACMEMNTUNWACM_MEAN_4_RA,resource,internal,-
WACM.LAP.GLENDO,WACMGLENDOUNGLENDO_PLT_RA,resource,internal,-
WACM_CRSP_TSPM_COEAST,WACM_CRSP_TSPM_COEAST_LA,load,internal,-
CSU.RD_NIXON_2,WACMRDNIXONUNRD_NIXON_2_RA,resource,internal,-
LAPT.TSGT.FSE,LAPT.TSGT.FSE_H,hub,internal,-
LAPT.PRPA.FSE,LAPT.PRPA.FSE_H,hub,internal,-
WACM.FRY.MTELBERT,WACMMT_ELBRTUNGEN_12_PLT_RA,resource,internal,-
WACM_AZTEC_RTO,WACM_AZTEC_RTO_LA,load,internal,-
WACM_PACE_NAPLES,WACM_PACE_NAPLES_LA,load,internal,-
WACM_UPI_UPI,WACM_UPI_UPI_LA,load,internal,-
WACM.TSCO.CTW,WACMWINDTALKUNCROSNGTR_WIND_RA,resource,internal,-
CSU.FULLER_BESS,WACMW_FULLERUNFULLER_MSR_RA,resource,internal,-
WACM.LAP.YELLOWTAIL115,WACMYELLOWBRUNYT_1_2_LAP_115_RA,resource,internal,-
PSLO_COBB2_PR_PSCO_PSCM,PSLO_COBB2_PR_PSCO_PSCM_LA,load,review,-
EPE,EPE,ba,internal,yes
WACM_CRSP_AZTC,WACM_CRSP_AZTC_LA,load,internal,-
WACM_PACE_WAGONHOUND,WACM_PACE_WAGONHOUND_LA,load,internal,-
TSPM_SOURCEHUB,TSPM_SOURCEHUB_H,hub,internal,-
CSU.SOUTHPLANT_AU6,WACMSOUTHPLAUNSOUTHPLANT_AU6_RA,resource,internal,-
IPCO,IPCO,ba,external-seam,yes
CSU_PSCM_L_FOUNTAIN,CSU_PSCM_L_FOUNTAIN_LA,load,internal,-
CSU.SOUTHPLANT_AU3,WACMSOUTHPLAUNSOUTHPLANT_AU3_RA,resource,internal,-
CSU.PIKESOLAR,WACMWILLSCRKUNPIKE_SOLAR_RA,resource,internal,-
WACM.TSWY.LRS2,WACMLAR_RIVRUNWACM_TSPM_G2_RA,resource,internal,-
CSU.PUEBLOHYDRO,WACMPUEBRES2UNPUEBLO_HYDRO_RA,resource,internal,-
WACM_NTUA_AZPS,WACM_NTUA_AZPS_H,hub,internal,-
WACM.UPI.MTNPKPWR3,WACMTESLA_69UNMPP3_GEN_RA,resource,internal,-
WACM_LAP_MEAW,WACM_LAP_MEAW_LA,load,internal,-
WACM.LAP.MARYSLAKE,WACMMARYLKPPUNMARYLKPP_RA,resource,internal,-
WACM_CRSP_UINTAH,WACM_CRSP_UINTAH_LA,load,internal,-
WACM.TSWY.LRS3,WACMLAR_RIVRUNWACM_TSPM_G3_RA,resource,internal,-
PRPM.FLATS,PRPARAWHIDEUNFLATS_SOLAR_RA,resource,internal,-
WACM_PACE_CASPER,WACM_PACE_CASPER_LA,load,internal,-
TPWR,TPWR,ba,external-seam,yes
CRSP.LAPT.FSE,CRSP.LAPT.FSE_H,hub,internal,-
WACM.FEUS.W.BLUFFVIEW,WACMBLUFVIEWUNBLUFVIEW_CC_RA,resource,internal,-
WACM.TSCO.BURLINGTON2,WACMBURLNGTNUNBURLINGTON_2_RA,resource,internal,-
WACM_TSPM_WY_WEST,WACM_TSPM_WY_WEST_LA,load,internal,-
PSLO_KELIM_PR_PSCO_PSCM,PSLO_KELIM_PR_PSCO_PSCM_LA,load,review,-
GWA,GWA,ba,internal,yes
BHBA,BHBA,ba,internal,-
WACM_CRSP_MEAW,WACM_CRSP_MEAW_LA,load,internal,-
WACM_CRSP_DOLRS,WACM_CRSP_DOLRS_LA,load,internal,-
CHPD,CHPD,ba,internal,yes
WACM.MEAW.WYGEN1,WACMWYGMEANUNWYGEN1_MEAN_RA,resource,internal,-
SCE,CISO,ba,external-seam,yes
WACM.LAP.BIGTHOMPSON,WACMBIGTHOMPUNG1_RA,resource,internal,-
CSU.RD_NIXON_1,WACMRDNIXONUNRD_NIXON_1_RA,resource,internal,-
WACM_PACE_FTSANDERS,WACM_PACE_FTSANDERS_LA,load,internal,-
WACM_LAP_SIDN,WACM_LAP_SIDN_LA,load,internal,-
WACM_MPEI_RTO,WACM_MPEI_RTO_LA,load,internal,-
WACM.LAP.FLATIRON,WACMFLATIRONUNFLATIRON_PLT_RA,resource,internal,-
WACM_WAFB_COSUP,WACM_WAFB_COSUP_LA,load,internal,-
CSU.RD_NIXON_3,WACMRDNIXONUNRD_NIXON_3_RA,resource,internal,-
WACM_TSPM_CO_WEST_CRSP,WACM_TSPM_CO_WEST_CRSP_LA,load,internal,-
WALC,WALC,ba,internal,yes
NTUA_LD_PNM_CH,NTUA_LD_PNM_CH_LA,load,internal,-
PSLO_BIJOU_PR_PSCO_PSCM,PSLO_BIJOU_PR_PSCO_PSCM_LA,load,review,-
WACM.UPI.BROMLEY,WACMBROMUNBROM_MSR_GEN_RA,resource,internal,-
PRPM.PRAIRIE,PRPARAWHIDEUNPRAIRIE_SOLAR_RA,resource,internal,-
WACM_CRSP_TSPM_NEWMEX,WACM_CRSP_TSPM_NEWMEX_LA,load,internal,-
PSLO_STER1_PR_PSCO_PSCM,PSLO_STER1_PR_PSCO_PSCM_LA,load,review,-
WACM.UPI.MTNPKPWR2,WACMTESLA_69UNMPP2_GEN_RA,resource,internal,-
WACM.PSC2.CRAIG2,WACMCRGCUUNWACM_PSCO_U2_RA,resource,internal,-
WACM.TSCO.AXIALBASIN,WACMMILK_CRKUNAXIAL_BASIN_RA,resource,internal,-
NTUA.GEN.KAYENTA.PLTA,WACMKAYUNKAYENTA1_SOLAR_RA,resource,internal,-
WACM_BEPW,WACM_BEPW_LA,load,internal,-
GRID,GRID,ba,internal,yes
WACM_LAP_GOSH,WACM_LAP_GOSH_LA,load,internal,-
